Source_Pincode,Destination_Pincode,Number_of_Days
410504,625602,5
636119,400604,2
841222,328023,6
585411,486451,5
798613,587112,6
638153,635810,5
403713,723155,4
700007,176060,3
391121,201307,4
411026,135102,2
277203,805104,3
462013,424310,3
231304,481776,5
302006,671323,4
691005,388365,2
151509,571429,4
845307,263139,3
642108,791105,5
392220,721440,5
793111,442606,6
734226,416811,5
695006,606204,4
581302,182205,6
768111,416801,5
591244,460665,5
761123,691506,2
176038,473118,4
412207,583102,2
212601,362227,5
734105,212656,5
176065,673616,6
814148,712602,4
854302,521340,6
639120,591311,3
632404,822121,5
490026,277001,6
212635,712705,3
143515,721128,4
731221,643241,3
332742,283102,2
695121,491338,5
641664,785683,5
403715,734321,5
262906,325209,2
795104,143515,2
421503,535593,2
801507,627416,3
443002,743371,4
307028,413201,2
783127,768006,6
321001,389120,6
754153,518512,5
638181,241202,5
144512,691005,3
752019,415807,4
721447,847115,6
125004,781301,6
192221,127045,3
641601,770002,3
685565,431115,5
230405,632406,6
190018,784190,6
673542,431114,2
146022,643253,3
737102,176502,5
400088,175130,5
678651,140108,3
506369,736203,4
231209,503180,4
670331,742227,5
731123,843311,6
305629,285205,4
345034,679502,4
516501,249141,5
400006,201013,5
456665,741255,5
500075,206245,5
765020,394221,4
262202,412109,6
700145,444108,3
680594,175128,5
732140,313022,5
323601,208024,4
752011,782427,4
794114,713371,4
623501,783101,4
248123,757103,3
301030,124513,6
400086,721513,4
110086,142046,2
627854,673007,5
754202,450337,3
207402,741315,5
686672,209217,2
516310,761141,5
246469,303502,3
415114,678583,3
500025,313324,3
609304,262550,2
524142,721606,6
343001,249175,6
232332,609309,4
416405,416306,5
628851,425410,2
302031,743711,4
328028,392001,2
424006,733134,5
442106,783391,6
460220,524124,2
770024,363423,3
281307,482056,6
283141,572142,5
643236,249192,6
486892,431519,4
140109,785106,4
560038,172023,4
487770,673305,2
753007,534250,5
535221,132104,3
625017,700007,3
583220,523280,5
517587,623601,6
638673,160004,6
731129,782426,3
824232,689502,2
231223,504205,3
562103,691601,3
332316,764006,4
424004,517237,6
680683,754221,2
758013,202138,3
713162,695508,4
481768,621133,4
643212,670705,3
689574,641004,4
274801,582111,3
141127,505469,2
841507,761201,4
221706,486888,2
312402,311302,3
621210,811212,6
387230,713347,3
221503,854105,5
582102,209841,5
734013,676106,4
210427,754112,4
757028,799144,6
735217,686544,3
827009,224146,4
605766,391115,6
480441,601202,4
144532,755015,6
678641,327023,2
757077,243122,4
574220,444403,6
570004,721636,3
444604,441701,5
144028,477445,4
517128,629171,2
689520,481105,3
535558,841227,6
629602,737136,4
533212,743411,4
533223,387380,5
411012,335711,2
443001,228001,5
387325,680563,2
843123,754108,3
431809,501509,2
678731,415539,6
176089,364120,3
824112,451113,5
442916,283201,3
691533,759040,3
193222,211019,3
172118,689121,5
175026,193201,5
224190,160059,2
517277,530032,3
712124,768224,3
471101,312001,3
224133,229401,4
423107,627759,3
627117,333025,2
382422,324003,2
246727,136118,2
173030,110048,3
524322,585329,3
421501,802352,2
458778,402108,2
515672,305002,5
587113,606108,3
643218,229404,3
700066,586203,2
792130,388260,4
470227,389140,6
333026,571442,5
852139,688525,3
121003,583233,4
583122,143201,4
307511,630003,4
722176,754102,3
516484,670302,4
333024,843301,6
854302,395003,6
244601,176318,5
382110,855102,5
643223,570028,4
515124,141118,3
173026,585236,5
517551,691012,4
221002,607004,6
423117,212654,4
581308,231209,3
509135,759037,4
223226,586116,3
641604,249304,3
721503,631606,2
814112,741238,5
503186,393110,6
742113,641664,2
731123,505501,3
786147,484555,4
144205,497446,2
695581,835233,5
451551,736157,2
246732,504312,2
515241,333041,2
600008,493887,3
630211,323802,3
590008,752083,4
231306,614203,6
673002,276302,5
583101,670702,4
401610,805123,5
445201,506143,6
415411,507123,4
670692,757048,5
678731,685532,2
805132,533215,2
413104,631207,2
275202,518442,2
212641,628656,5
144012,509336,3
574509,504209,4
191201,781375,4
744302,396120,2
516503,497116,3
570003,342303,2
134107,712701,3
845436,501121,6
721129,507120,2
144702,483105,3
444903,493221,3
631604,755026,5
110007,787110,4
328030,144804,3
742304,635602,2
384002,110022,6
833202,688527,5
722155,431707,2
311604,313004,6
522619,394365,4
847230,533462,2
325601,682013,3
630105,734009,6
212212,304001,3
768025,744301,5
403006,491885,2
736204,312202,3
686548,686511,2
623518,603313,4
679122,306422,4
712414,307501,2
410222,506224,6
202280,272001,6
422620,522211,3
394115,396418,6
625105,678685,6
444506,632009,2
484774,560096,6
444201,483773,5
440019,695585,4
802135,814167,6
847204,680505,4
752022,686546,2
721130,803214,4
636014,505129,6
403404,732150,6
505186,388570,6
246443,843311,6
276204,627652,3
517640,506315,2
731245,384335,5
400005,695043,4
608502,577145,6
460665,626134,3
670012,842003,6
445002,363621,3
132113,272163,6
521137,524137,4
785672,742133,2
127022,682035,4
263160,457893,5
209204,630305,2
825317,788118,4
607109,689581,6
788126,782490,4
751014,515321,2
682033,627131,2
632202,460551,2
503224,505466,3
518006,145022,6
140601,676523,3
506355,629204,6
642108,606203,2
742122,604504,3
470337,271313,2
534236,365645,4
461114,723155,2
173220,363410,2
390022,231313,4
212111,800028,5
796710,732215,2
487441,580112,2
342301,415637,3
792102,248013,2
209304,614208,4
384229,635654,6
212404,480223,5
365440,744202,2
174305,416534,5
678601,124506,4
209311,843311,3
229801,841219,5
493526,800021,6
828124,764076,5
742402,323024,4
461115,639115,6
620102,691021,5
246747,686502,3
262724,212401,4
788161,272189,3
671532,734301,2
611108,756021,3
560089,797117,6
423109,431001,6
332315,518003,5
613502,822125,4
636457,736165,6
783350,822134,6
283102,388610,3
283124,242221,6
562103,509358,2
624208,370415,3
207125,226014,4
242221,123106,6
201314,524402,2
608602,135003,6
464226,210202,4
735305,152123,6
843334,700143,4
624204,641654,6
532409,521137,3
530028,621706,3
683518,282009,5
680661,743429,4
202133,804422,3
563114,521126,2
451332,600001,4
174015,636015,3
689667,365540,2
402305,814120,5
571117,530053,6
311021,534250,2
277202,585413,5
756133,712426,5
370145,388325,2
201307,413120,3
517586,515867,3
136117,535260,4
413005,311605,4
723146,230126,2
365460,613504,2
642109,272195,2
232340,457336,3
284127,173217,6
261136,581116,3
754027,627813,2
277209,232101,6
261207,203206,2
415406,627802,2
764087,535240,4
805130,492008,3
628252,282001,3
303302,229802,3
221002,824211,3
609301,523302,4
732201,630104,5
363421,360311,5
785687,394720,3
206128,342311,5
689573,326515,3
680504,122010,6
415724,495224,6
743234,243401,3
722170,523254,3
631605,711203,3
852112,324009,2
691504,534123,3
591315,630207,3
394111,341518,5
400056,284135,6
411036,232105,5
671326,835217,2
689674,679338,5
522301,222143,4
301021,523304,3
691019,456221,5
804402,422201,3
795139,754010,2
193123,821308,5
673311,363630,4
125201,176309,5
331506,756028,5
396418,384345,4
422012,629169,6
723101,464671,2
283123,362235,6
630559,244245,4
609401,227805,4
444311,612001,5
605014,250103,6
805106,712201,2
176317,736206,6
484224,609109,6
141103,388250,5
711305,144102,4
233224,620011,6
201103,507136,2
431129,785636,4
583218,689103,6
390021,577546,4
141105,695121,6
743354,431151,2
250401,431522,6
394655,673586,4
629165,382110,5
572219,802103,3
177025,609605,4
444809,799115,5
627805,431731,6
833215,503321,5
232102,768107,6
533251,335702,6
505305,782003,3
312401,143511,3
313702,629152,3
533284,643216,2
678731,342006,2
325205,473638,4
560042,493221,3
143304,743233,4
683574,845315,5
824201,690504,5
600119,456441,4
126101,574115,6
584140,452014,3
804426,382810,3
122102,522264,3
416549,627002,3
361230,262723,6
444103,671541,4
312001,680584,4
303508,767027,3
686667,637201,3
506168,232340,3
711322,848505,3
792104,410506,2
262541,671551,5
612303,691006,2
274602,134204,4
670006,227815,2
231301,496107,5
211014,506342,6
311401,243636,4
175026,680620,2
421312,396418,2
305415,770040,5
362245,518217,2
682010,733103,4
577203,483501,4
636103,441215,2
441801,403806,3
785015,191132,2
531114,272270,6
532455,764075,2
680731,799155,3
523112,577415,5
680306,845452,3
321028,635808,2
678104,682010,5
824303,639118,4
360005,226003,6
759105,637215,6
305924,570015,5
741249,700126,6
382728,494449,4
142041,797109,6
605111,843329,2
274404,401405,3
262907,581396,2
277205,125112,4
680662,482010,3
761110,679122,6
144622,713324,5
603308,453115,3
491445,803111,5
627104,382321,2
190006,370460,2
574212,494553,4
639111,413412,6
811316,504310,6
384285,802122,4
390013,225416,5
560021,370165,4
126114,363650,3
829131,212658,6
685601,410218,5
152028,685605,2
276128,176026,4
413716,470235,6
721101,415724,5
424304,521151,6
584140,360578,5
639201,635113,3
148027,416701,2
606708,680104,6
591156,143409,2
682007,283152,3
395002,228171,5
173101,570006,5
621715,626188,2
507117,229401,4
641301,143105,2
641048,505501,5
285130,382780,3
691508,561206,2
845107,560039,2
689111,581186,4
581208,140116,3
755004,141010,6
689699,680302,4
583275,695573,3
695042,110020,6
590018,322215,3
421403,764004,5
505503,752113,6
761144,332406,4
533435,587125,3
768049,232330,5
233229,413704,4
756025,394230,3
276404,825324,6
503003,415524,3
142036,210121,4
795149,181124,5
490023,572102,2
322236,582116,4
574239,680734,3
384225,691574,3
682557,415114,4
832402,621803,6
251001,673579,3
474006,460443,3
305623,581345,6
812001,191113,4
212306,341024,4
206128,621302,2
360515,481995,4
193122,563146,4
626114,678502,3
711312,416218,4
413520,769043,6
171221,224228,3
495222,628703,3
628952,686018,2
517414,721634,5
535521,721137,6
110020,180020,6
412305,689613,4
388001,690514,4
628701,629203,3
743347,533296,5
581109,570022,5
391530,396220,5
822116,431503,3
262530,388170,4
841213,600128,4
686141,680005,2
301407,424002,6
829121,591223,6
679505,577413,2
560107,621117,2
628616,502125,6
758085,411036,4
847224,755044,6
756040,600067,5
144211,609503,2
713421,625501,5
680517,534456,3
382650,605652,4
176021,691011,4
689546,145026,2
507003,523111,3
413509,496334,2
394430,531034,3
723132,736131,4
228159,689107,2
700095,521229,2
335501,321405,6
471105,382481,3
515701,203001,6
126111,804407,5
312901,695102,5
395017,636404,4
201103,231224,6
637406,180002,5
185202,171215,5
360320,226020,4
209736,313331,4
700059,783361,3
172026,700052,2
341023,495009,5
445323,518348,5
305407,465685,3
614018,700077,4
621711,571610,6
673593,460449,3
680691,144802,3
612105,393025,2
307031,506004,5
493889,851117,3
124107,125058,6
622411,484110,5
689101,516216,4
844119,581319,4
201303,160014,4
271203,601205,2
458775,673122,2
582205,845453,3
781316,843106,5
224183,577434,5
415302,142056,2
829301,246427,4
504294,620018,2
621803,580114,6
629501,788108,4
227304,790002,6
783131,626121,5
606402,485001,3
769016,843318,2
782002,387230,2
174024,614201,5
521178,533232,2
635101,176092,3
452003,387115,6
713127,604401,2
461441,192301,5
515124,323615,5
360070,142039,5
486661,796261,5
431131,799101,3
176501,442106,2
323616,731132,6
829201,685588,4
283207,145029,6
523182,583131,2
460110,203209,2
670662,782429,3
509353,603405,2
431719,341518,3
515134,192232,3
422005,382321,6
263667,131306,3
415409,332714,5
522410,743429,3
370615,574220,6
624709,636201,5
500002,382427,6
754104,829130,2
440013,770046,5
342027,712149,4
600034,600091,3
639008,533340,3
262903,172116,2
713127,829201,6
228121,276405,5
517123,516355,3
795148,533462,6
673575,403801,5
471411,770022,3
695023,227304,6
226104,814113,3
757074,522412,2
571114,581187,6
683522,445216,3
535101,755019,4
415643,678003,5
396472,226401,2
679505,686581,4
271403,517536,6
762112,518510,5
583211,627201,3
243506,534211,6
521256,793003,6
456770,785613,6
515004,244715,4
124142,185211,3
470228,612703,3
142036,759148,3
632059,585216,3
486451,614016,2
389155,508004,3
614805,384290,6
623712,382145,3
632311,799115,2
532263,387360,2
488442,144031,6
683544,577522,6
841212,443404,3
845303,783381,5
144415,147004,2
344032,761146,3
743329,604409,3
700025,482011,5
509327,532222,5
518599,786002,4
828302,804421,4
600062,577536,6
272161,643221,5
305629,415728,2
242405,855116,4
721443,471301,4
741127,783131,4
571128,585322,2
360480,209305,2
313602,797100,2
110062,636401,2
210430,131039,4
755043,635751,3
721158,641407,3
767040,767038,5
272194,752057,2
362275,690502,4
396171,678508,2
795141,502125,3
847121,824127,4
769016,412409,3
609113,311804,6
626138,799207,3
575001,416604,2
210120,799143,6
382427,322024,2
622507,140506,3
505455,591215,6
686020,624622,5
360550,142011,4
472118,244001,6
400085,625582,2
475115,855106,5
174101,490042,5
207249,132037,3
415611,333503,5
621701,691016,5
571440,364465,2
500042,629001,6
461441,737132,5
741103,673007,3
841211,500027,6
795134,425423,2
788002,486556,2
638001,504297,6
413102,636016,4
521182,680304,3
403729,802103,3
515761,756164,2
209749,401304,3
841426,497118,2
477105,431715,2
500053,176301,6
360005,125004,3
591136,700090,3
757042,132039,6
680104,465445,6
229124,401301,2
577411,827010,2
516104,535592,3
431001,184143,6
670101,413607,6
721627,465691,3
173210,204211,2
691016,758001,6
743396,142039,5
134107,831017,2
600062,221313,2
571235,136156,5
754114,343021,5
680590,425105,5
691553,688006,5
600005,524230,6
518010,176110,6
110064,394410,6
520007,172101,6
600058,851112,2
127021,801505,2
135003,591304,3
431117,825103,3
342003,682559,3
686506,732102,2
222161,458118,5
332028,524222,2
522257,583201,5
277303,383001,2
625531,125076,3
752021,272301,4
700091,803116,4
171010,623566,5
533211,734216,4
277216,563120,6
421311,626104,5
306504,208011,3
516361,571444,4
431541,762102,3
206244,620010,3
263631,246471,3
781134,394715,6
713383,495682,4
515134,244411,4
847305,176125,2
535145,312023,2
532402,642130,3
636107,764041,5
244921,503125,6
283201,590018,5
175013,508210,2
508253,180019,3
212111,180006,4
682036,741121,2
758017,453331,4
631303,413517,3
313323,631551,6
722151,757081,3
143519,493118,6
273004,415405,6
686661,722110,2
517423,457222,3
627111,493338,6
503217,247122,2
852161,500054,5
521345,393125,3
241304,627857,2
670006,509152,3
570012,722172,2
464111,263630,2
585218,682030,2
757049,585314,4
110067,313611,4
202281,491888,3
627109,764085,4
388345,761018,2
521003,384246,5
305624,413309,3
212620,722121,2
125201,515201,4
793106,391125,2
629163,451225,5
494552,242301,5
731132,601103,5
517319,497442,6
403530,177043,3
173202,148030,5
625524,276301,6
491668,472446,6
623534,271607,4
365645,472331,6
574238,572113,3
360007,412801,6
600119,208012,5
670704,690507,4
735301,679326,5
743221,695512,6
394440,464228,3
711314,757023,5
533294,767026,3
673613,422215,2
450110,383440,5
249186,802125,6
413301,843313,2
521139,502321,2
365435,390008,4
532195,612804,5
591123,208005,3
792104,764036,4
641202,768034,5
700120,411034,4
571421,767040,2
400035,415501,6
424207,144003,2
201301,713380,4
303006,844125,2
603211,171103,3
636351,411040,6
243638,453771,3
799046,462022,5
383010,603403,5
847104,501101,6
225305,443404,4
733134,140401,6
335805,505122,6
523226,757102,3
322254,741247,6
629166,845426,4
629851,416616,2
335701,431715,5
754035,533232,3
441911,759024,6
741234,321614,4
535592,177107,4
415616,682559,2
176073,811112,5
835223,229208,4
122006,791102,4
477222,689649,6
396580,522020,5
700054,631701,4
680613,431501,6
205304,250623,4
504272,382115,2
385310,585292,5
845418,202122,2
690524,425421,5
285123,482003,2
261125,571404,3
400022,523105,4
700103,786151,3
524322,609601,5
721441,144039,5
813107,575010,4
533577,174015,4
758030,311408,2
686604,676320,5
522202,846002,4
415013,505505,5
764038,395017,3
628201,627502,4
493344,754160,4
508004,391430,2
212218,416504,3
609313,577520,3
783390,505467,5
231220,262802,2
456006,391530,4
600092,225305,6
480337,182201,6
481768,627654,3
370605,604305,3
400085,229212,2
624101,760010,2
500006,148002,5
151105,503165,3
680505,272202,5
533256,741155,4
125051,642101,5
673032,754202,2
688541,456221,2
206121,623406,6
387635,246429,4
581453,522236,3
722132,421001,2
680516,204214,2
454335,411013,2
224149,140306,3
505327,431129,5
743424,576226,5
415022,497553,3
783134,394601,6
208020,382840,4
532443,281206,5
781368,360578,2
271308,591303,5
403728,211006,5
821309,685620,6
585211,331803,6
263623,174102,2
733158,787058,2
571442,712415,5
682008,508105,5
560068,752013,4
673101,621307,4
700015,793113,3
766106,673507,2
731237,824120,6
561211,122010,3
227409,175125,6
670731,781005,6
788701,520008,4
411006,456313,4
127307,490024,6
691584,333001,4
243001,522003,5
695029,201011,6
231311,494222,3
509382,845303,6
210001,572120,6
638311,600014,4
621217,244302,2
306702,412211,4
629178,246487,3
533444,477566,2
636502,271609,6
833101,176056,5
306602,577128,3
713147,621112,5
613002,211018,5
713367,505454,5
535526,782135,3
175019,685585,6
177220,453001,2
452013,110083,4
835233,441806,3
176107,689103,6
743318,799251,6
793010,852202,4
848125,415010,4
500031,341518,3
854205,583214,2
673010,415626,2
142027,735233,4
281405,603127,2
700036,626112,4
505531,577514,5
477441,395002,5
679102,523292,3
532409,201312,5
623404,304803,4
382305,326529,3
312206,636113,6
388470,125004,3
754035,385360,6
531151,370670,4
444607,361110,6
515871,522309,4
752034,123102,4
783331,766100,2
770043,768002,5
425408,460668,2
277302,585227,3
560030,484001,3
504103,208015,4
711313,387230,2
798619,263652,3
759016,570009,4
721166,193502,4
737119,250003,6
176077,518217,6
603127,847212,6
829110,151102,3
571218,813102,2
250617,530032,5
609402,734313,2
814114,700125,4
574239,673631,4
416219,125033,6
735203,586109,6
841505,768113,3
721453,364280,4
829117,413002,4
143305,333041,5
271308,222175,2
610201,522308,3
414005,573112,3
621116,344034,4
802352,685590,3
148029,822126,5
243122,276201,3
517587,395008,3
630554,827004,5
284419,841440,2
585222,335039,5
800013,202140,3
209729,751004,3
517132,480105,3
209307,491227,4
784117,503003,4
533233,393130,3
791121,322242,4
585322,403510,4
480223,563162,6
249199,403203,3
795126,581331,4
515801,207241,6
335062,520001,2
534197,192304,6
802103,627854,6
757001,638673,3
123501,534240,2
627106,732203,5
402116,412108,3
533446,587101,6
627005,801306,3
144020,793122,3
517501,764081,5
415505,801105,5
742121,400026,5
501511,442604,4
574111,802166,4
491340,695020,3
110083,388220,2
788110,585303,5
560072,523260,2
700112,576230,2
629302,743429,6
222141,532185,6
416223,785670,3
342012,313702,4
561204,444111,3
124104,785674,5
262722,413601,5
612202,273308,3
832110,333035,6
452010,600013,5
391780,389360,2
591201,500060,2
700046,799012,4
505524,670302,3
244411,444905,3
627112,609105,5
192304,786171,5
627109,759014,3
577226,416417,2
629174,781330,6
224139,176055,2
621217,731126,2
700023,486669,4
621002,415410,3
784175,445207,4
799251,793021,4
271845,712122,2
180015,477116,5
754110,382260,5
581211,363520,2
531036,416316,3
415310,415536,4
125007,203390,2
403109,144012,3
401203,721438,3
470880,628304,2
781325,813104,5
182320,485772,2
143103,475671,3
141107,431723,4
834009,521170,6
523182,231215,2
813105,835202,4
176084,228125,3
362263,573225,5
393110,786155,6
244712,507318,4
581212,797099,5
509339,201204,3
303301,680619,5
202170,600095,3
741503,505102,6
591240,621215,6
670646,585326,3
605001,737138,5
743347,784505,6
500062,370601,4
451441,713173,2
741301,145001,4
737102,847225,5
600088,523334,5
785691,713142,3
485773,500067,5
591173,389390,6
271302,829127,2
440030,177401,4
680611,688538,2
764045,134204,6
380060,571426,4
384205,682036,3
302029,805106,3
244221,509210,4
804453,410516,5
760002,832109,2
394326,177601,3
770018,147103,3
636453,415505,6
326515,152116,4
637102,275105,3
635107,488446,4
361002,462010,3
788030,522619,5
177034,123035,3
441221,203402,2
502307,678551,4
272207,591340,6
754296,841501,6
816116,686664,2
211002,532127,4
700088,680509,6
583225,590020,5
110024,370485,6
766036,221105,4
209302,454335,5
638402,670107,5
577448,465685,5
521104,160004,6
686510,612201,6
361004,388543,5
144404,680616,2
533101,612904,6
173225,413209,4
222141,515721,5
224151,758028,3
403527,144628,3
723131,501218,6
680569,743122,6
711307,344034,4
628714,204213,2
752090,396380,2
781026,423701,2
521326,136044,6
721463,305405,6
794101,303704,5
628206,127021,5
530004,401201,2
173025,415617,4
560094,172001,4
271845,768104,4
177042,679105,5
639117,228132,6
364465,713144,4
244717,328025,2
734224,627808,6
301030,581211,5
754108,678598,3
249410,848209,6
515722,680563,3
392035,144516,3
632521,680522,2
518220,134005,5
761042,224120,2
753002,306912,5
474003,173024,6
328030,486341,2
201304,757073,2
841426,394160,4
721628,388640,6
781354,445230,3
345027,262726,5
585417,713128,2
577425,723145,3
532403,722132,6
533440,832101,2
400070,505527,4
787058,515711,5
742201,431006,3
303012,400055,4
333302,126112,6
600098,322030,2
462039,473287,5
689111,678704,6
424302,828113,6
781374,364330,6
796017,721232,4
516339,414302,3
822113,177601,6
722134,503124,3
225003,741313,4
493344,752023,4
623401,700029,3
144401,524403,6
627116,723213,4
362015,230141,6
624219,743290,5
711401,361330,3
422211,212652,3
628718,679581,4
393130,754231,6
524129,206122,6
134109,414606,6
670701,636121,5
384310,603310,5
176085,246761,3
305415,535005,3
756118,609403,6
743247,311801,2
577401,805103,3
753003,410513,6
572114,151508,3
144014,391345,6
415311,700031,4
202141,795008,3
493221,248011,3
326514,481331,6
638003,700090,5
415708,700139,3
483331,285204,6
845303,534111,4
841413,342802,6
175015,735135,4
523261,802219,3
582102,370160,5
841423,360577,3
144533,203206,3
389220,638116,3
110040,636102,4
766103,312403,4
614723,416118,5
221301,679323,2
523334,832106,2
763004,203405,4
695038,533450,4
690104,523301,3
691322,277504,5
503003,174305,4
636705,636011,3
521390,416109,5
626202,518563,6
531075,415520,2
249192,700094,2
754138,124109,6
142027,627757,4
271310,630554,3
274807,494224,2
313905,176401,6
742308,759107,5
363330,585413,2
533296,127306,6
793022,712503,6
797107,431720,5
642109,110027,3
403508,721134,2
122508,415711,2
244401,628215,4
403705,573119,2
581148,793016,6
342001,571445,6
466001,487555,4
627755,802114,5
627751,700151,4
202001,761042,4
136038,431510,2
624621,573120,5
626117,614018,4
800014,394250,3
263156,735209,6
201306,518599,5
713428,735219,2
767068,176040,3
210120,416529,6
577005,175028,2
756001,609205,3
796730,604151,3
283203,754134,4
614716,752077,4
585225,422001,6
303905,673604,5
689508,734006,4
603202,504311,4
151213,735230,4
788102,689673,6
691559,755044,2
262901,535005,4
497442,123411,4
534250,743446,6
575001,577423,2
133001,713142,5
635811,689533,5
370660,364230,3
851215,621703,2
690522,175009,6
301028,494449,5
461446,421402,5
700137,281005,2
575002,445216,4
283114,473885,5
628303,485771,2
785634,758044,4
680564,825410,6
400099,721147,6
560005,493331,3
275306,712233,4
583224,382745,3
803213,441905,6
493559,491993,5
423403,586120,2
743504,415004,5
180019,490009,3
583152,630611,6
781015,759040,6
591118,314037,3
110001,335022,3
824302,800022,5
741122,635102,6
460661,342012,6
581210,124508,4
848102,731221,3
560019,403601,3
321605,134203,5
250609,632316,4
422213,431009,2
700063,841440,3
571216,224229,2
713383,756041,5
788118,443112,5
736206,691522,2
781373,828119,3
680008,713502,3
744204,642154,6
311401,391101,6
191102,754253,3
600070,679554,2
573162,679106,5
364320,832110,3
841436,246277,3
481879,814144,5
394320,389382,6
752092,221208,2
680655,607803,6
180006,686572,5
462024,788123,3
431132,221409,2
712104,713155,3
175026,362650,6
756020,227807,6
632315,801307,3
502109,331303,6
160014,683562,2
229306,796441,4
581105,583135,4
444303,492015,3
627755,144529,3
682311,303102,2
209723,743438,5
689511,388520,4
151209,768204,4
587314,695036,2
628005,575001,2
700079,676517,5
443401,364310,4
209864,628101,5
695019,362222,6
624601,825320,4
673620,394515,2
143605,458002,5
521215,313706,4
415540,382320,6
444407,630709,4
755015,342601,5
431202,313003,3
506356,497225,2
673615,784028,2
713346,627427,3
271845,457119,6
534411,755024,5
627414,561212,5
190012,700019,5
680308,411043,6
151201,192304,4
413310,364515,2
695005,518206,4
534195,202142,5
607205,632105,2
721439,400007,3
713140,444301,2
628219,176044,2
388160,636705,2
520011,486440,2
784180,636015,6
848101,712301,4
110044,233311,4
496445,691006,2
110061,792123,5
400104,781312,4
670305,500054,6
712148,685615,4
766029,146103,6
691502,686603,2
764051,413210,6
221201,185203,4
322216,380028,4
344035,361325,3
627415,752023,2
673603,140702,5
712501,690517,2
824101,110084,2
835234,249122,6
631205,493449,5
712407,110073,3
824112,453332,5
682315,177205,6
505469,226015,4
385505,412208,2
761032,629166,2
481117,683546,6
732150,574265,3
442502,246722,5
486881,685581,2
394601,532195,3
784523,848113,4
249193,851201,4
636011,364470,3
321001,835203,3
722147,533252,2
493887,688531,3
637215,229305,2
600029,531085,5
769001,411012,6
848131,781347,4
711105,621202,6
334202,277124,5
625004,762022,4
491557,209865,5
673101,306502,3
676519,481115,2
126152,561202,2
533244,402302,2
712708,685588,3
638504,403523,2
370627,400098,2
486448,845435,4
630210,688012,3
627659,560056,3
281501,560095,6
688521,628005,6
415501,515405,5
413737,457773,3
700159,695104,6
845459,473001,6
627423,140126,5
781012,752002,2
690520,364250,2
331022,402117,5
722171,607003,2
631501,800026,2
625019,441904,4
451332,388480,4
638312,305927,2
209214,360577,2
144216,609308,5
276406,845414,2
577133,758027,4
731243,682557,4
201012,678597,4
766020,824232,5
623703,202150,3
642125,695522,2
431513,812001,2
415612,621313,4
421305,643212,2
600059,306902,4
735212,243638,2
243720,305926,4
364250,680689,6
852122,577118,6
637405,676103,3
229209,403714,3
742148,501503,3
854103,136135,2
416516,477446,6
614207,600118,4
788106,314029,2
627104,425502,2
629169,628216,5
673513,522233,6
638010,507302,3
678553,532242,6
680545,516432,6
631003,828134,3
761045,680102,4
176086,695564,2
636502,176076,4
673312,172031,2
583234,752030,5
522529,825409,4
700050,193223,6
493111,635851,6
521301,177005,6
688529,518463,5
341520,534326,4
152107,110021,5
680699,638460,3
471501,604404,3
445105,493449,4
211005,741165,3
460447,614206,3
476229,415401,2
312603,764004,6
471606,600094,6
627759,722201,3
370655,768213,4
606904,533105,6
576283,570025,5
176325,571812,5
758002,487221,2
250342,522626,6
412307,518343,6
742201,487110,2
670511,221709,4
758018,591311,3
391761,285121,4
175015,623566,3
572101,577221,4
143517,174031,3
244716,389160,6
577413,586101,6
783123,481776,2
835231,312603,5
515865,577122,6
413716,781137,2
643217,686021,2
757043,241405,4
141101,522414,4
442301,211004,2
202137,846004,6
394250,382610,6
415112,635113,3
400005,206124,6
754289,225302,6
847212,283152,3
141007,247232,4
744201,470664,5
734434,246448,6
690107,160047,2
481449,209749,3
609302,758047,4
612204,711413,5
755061,313331,5
263628,524315,4
193108,533436,6
757100,209867,2
249199,758038,5
786125,671312,4
761031,246435,6
781355,307019,2
755008,144503,2
191101,734427,6
141101,841313,3
785689,144302,2
670014,400055,4
795145,631301,2
670611,454665,2
628802,689595,3
524414,671551,2
712701,518442,6
573118,222149,2
743262,411061,6
413505,670675,6
686672,686672,4
769043,110088,4
844503,284305,3
613401,781373,3
788001,271882,5
221105,306119,2
787026,221010,2
274508,560063,6
676502,246129,6
530047,395003,2
507130,453332,6
493114,361250,5
752094,151108,2
583135,522310,6
602024,431512,2
523167,628503,4
585318,521214,2
390013,613503,5
627855,782105,3
307501,160022,5
632512,845418,3
636455,484665,3
517123,516390,4
713335,431213,6
144422,144103,6
572136,575014,2
751016,686653,3
770043,281003,2
442705,613003,3
582210,321613,6
523327,225122,4
502324,752054,6
181124,743129,3
413301,854105,2
500016,416111,3
829121,493118,5
572139,609501,3
743389,732128,2
768028,768221,4
211002,224230,3
700110,413255,3
577001,570018,5
127040,534447,5
535125,231206,6
450001,523303,4
571431,626003,5
388307,731221,4
600071,721625,3
206125,636105,6
605766,306902,4
802210,306501,5
500020,263157,2
854112,522413,4
622412,431202,6
370230,784147,5
261205,700041,4
712138,445103,3
712105,521156,4
262727,250401,2
221008,244924,6
742103,461668,5
574211,721626,4
221508,208003,3
581341,500068,5
326513,575020,4
621651,603002,5
570026,600118,2
585291,364240,2
712614,251203,6
673637,522309,5
822112,263139,3
766103,388345,5
781330,464993,3
176320,532212,6
323602,314001,2
271003,690516,2
572142,502108,4
670001,786125,2
533463,832108,6
802112,475335,5
462066,670501,4
444701,306503,3
823005,473331,3
416223,573130,4
795159,174311,6
